String ID,Dev Notes / Context,Character Limit,Text
Kibba,NPCs,48,Kibba
Reynard Shepard,NPCs,48,Reynard Shepard
General Artemovich,NPCs,48,Général Artemovich
Henry Davies,NPCs,48,Henry Davies
The Doctor,NPCs,48,Le docteur
Dimitriy Alexeev,NPCs,48,Dimitriy Alexeev
Crimson Assassin,NPCs,48,Crimson Assassin
Sergent Desya Popo,NPCs,48,Sergent Desya Popo
Rabbit,NPCs,48,Lapin
Rat,NPCs,48,Rat
Santa Claus,NPCs,48,Père Noël
Chief Scientist Isaak Fedorov,NPCs,48,Scientifique en chef Isaak Fedorov
Mutated Spider,NPCs,48,Araignée mutée
Spine,NPCs,48,Spine
Alexei Andreevich,NPCs,48,Alexei Andreevich
Osip Andreevich,NPCs,48,Osip Andreevich
Riley Evans,NPCs,48,Riley Evans
Viktor Tutorialovich,NPCs,48,Viktor Tutorialovich
Unknown,NPCs,48,Inconnu
Wolf,NPCs,48,Loup
Zombie,NPCs,48,Zombie
Armor repair kit,Armor Repair,48,Kit de réparation d'armure
"To use this repair kit put the weapon in the primary slot, right click the repair kit and use the green box.",Armor Repair Description,256,"Pour utiliser ce kit de réparation, placez l'arme dans l'emplacement principal, faites un clic droit sur le kit de réparation et utilisez la case verte."
"To use this repair kit put the weapon in the primary slot, right click the repair kit and use the item.",Armor Repair Description,256,"Pour utiliser ce kit de réparation, placez l'arme dans l'emplacement principal, faites un clic droit sur le kit de réparation et utilisez l'objet."
"To use this repair kit equip the armor, right click the repair kit and use the item.",Armor Repair Description,256,"Pour utiliser ce kit de réparation, équipez l'armure, faites un clic droit sur le kit de réparation et utilisez l'objet."
Weapon repair kit,Weapon Repair,48,Kit de réparation d'arme
Total Hunts,Stats,48,Chasses totales
Hunts Survived,Stats,48,Chasses survécus
Survival Rate %,Stats,48,Taux de survie %
Best survival streak,Stats,48,Meilleure séquence de survie
Current survival streak,Stats,48,Série de survie actuelle
Total money received,Stats,48,Total d'argent reçu
Most money from a single hunt,Stats,48,Plus d'argent d'une seule chasse
Most exp from a single hunt,Stats,48,Plus d'expérience d'une seule chasse
Total human killed,Stats,48,Total d'humains tués
Bandits,Stats,48,Bandits
Green army,Stats,48,Armée verte
Crimson Corporation,Stats/Factions,48,Crimson Corporation
Scientist,Stats/Factions,48,Scientifique
Loner,Stats/Factions,48,Solitaire
???,Stats,48,???
Boss: Lazar,Stats,48,Boss : Lazar
Boss: Arman,Stats,48,Boss : Arman
Boss: Orel,Stats,48,Boss : Orel
Boss: Kibba,Stats,48,Boss : Kibba
Total mutants killed,Stats,48,Nombre total de mutants tués
Total chest opened,Stats,48,Nombre total de coffres ouverts
Tool box,Stats,48,Boîte à outils
medication box,Stats,48,Boîte à médicaments
Electronics box,Stats,48,Boîte électronique
Bag,Stats,48,Sac
cabinet,Stats,48,Armoire
Safe,Stats,48,Coffre-fort
Wood box,Stats,48,Boîte en bois
Hidden stash,Stats,48,Réserve cachée
Weapon box,Stats,48,Boîte à armes
Attachment box,Stats,48,Boîte à accessoires
Vending machine,Stats,48,Distributeur automatique
Crystal,Stats,48,Cristal
Air drop,Stats,48,Largage aérien
Tikhon Romanov,Traders,48,Tikhon Romanov
Medication And Food,Trader Pages,48,Médicaments et nourriture
Equipment,Trader Pages,48,Équipement
Ammunition,Trader Pages,48,Munitions
Pistol And SMG,Trader Pages,48,Pistolet et pistolet-mitrailleur
Shotgun,Trader Pages,48,Fusil de chasse
Sniper Rifle And DMR,Trader Pages,48,Fusil de précision et DMR
Stock And Barrel,Trader Pages,48,Crosse et canon
Magazine,Trader Pages,48,Chargeur
Handguard And Pistol Grip,Trader Pages,48,Protège-main et poignée de pistolet
Attachment And Scope,Trader Pages,48,Accessoire et lunette
Building kit: ammo 1,Upgrade Base Kit,48,Kit de construction : munitions 1
Building kit: ammo 2,Upgrade Base Kit,48,Kit de construction : munitions 2
Building kit: Bedroom 1,Upgrade Base Kit,48,Kit de construction : Chambre 1
Building kit: Bedroom 2,Upgrade Base Kit,48,Kit de construction : Chambre 2
Building kit: forge 1,Upgrade Base Kit,48,Kit de construction : forge 1
Building kit: forge 2,Upgrade Base Kit,48,Kit de construction : forge 2
Building kit: garden 1,Upgrade Base Kit,48,Kit de construction : jardin 1
Building kit: garden 2,Upgrade Base Kit,48,Kit de construction : jardin 2
Building kit: gym 1,Upgrade Base Kit,48,Kit de construction : salle de sport 1
Building kit: gym 2,Upgrade Base Kit,48,Kit de construction : salle de sport 2
Building kit: Infirmary 1,Upgrade Base Kit,48,Kit de construction : Infirmerie 1
Building kit: Infirmary 2,Upgrade Base Kit,48,Matériel de construction : Infirmerie 2
Building kit: kitchen 1,Upgrade Base Kit,48,Matériel de construction : cuisine 1
Building kit: kitchen 2,Upgrade Base Kit,48,Matériel de construction : cuisine 2
Building kit: Radio station 1,Upgrade Base Kit,48,Matériel de construction : Poste de radio 1
Building kit: Radio station 2,Upgrade Base Kit,48,Matériel de construction : Poste de radio 2
Building kit: recycling 1,Upgrade Base Kit,48,Matériel de construction : recyclage 1
Building kit: recycling 2,Upgrade Base Kit,48,Matériel de construction : recyclage 2
Building kit: scavenger 1,Upgrade Base Kit,48,Matériel de construction : récupérateur 1
Building kit: scavenger 2,Upgrade Base Kit,48,Matériel de construction : récupérateur 2
Building kit: shooting range 1,Upgrade Base Kit,48,Matériel de construction : stand de tir 1
Building kit: shooting range 2,Upgrade Base Kit,48,Matériel de construction : stand de tir 2
Building kit: storage 1,Upgrade Base Kit,48,Matériel de construction : stockage 1
Building kit: storage 2,Upgrade Base Kit,48,Matériel de construction : stockage 2
Building kit: workshop 1,Upgrade Base Kit,48,Matériel de construction : atelier 1
Building kit: workshop 2,Upgrade Base Kit,48,Matériel de construction : atelier 2
Foregrip,Weapon Mods,64,Poignée avant
"Muzzle brake PPD-3C for 9x18, 9x19",Weapon Mods,64,"Frein de bouche PPD-3C pour 9x18, 9x19"
TR-15 WM stock War Machine,Weapon Mods,64,Crosse TR-15 WM War Machine
TR-15 B mag magazine GEN T3 desert,Weapon Mods,64,Chargeur TR-15 B mag GEN T3 desert
TR-15 pistol grip,Weapon Mods,64,Poignée pistolet TR-15
Batko MKM handguard,Weapon Mods,64,Garde-main Batko MKM
EC standard stock,Weapon Mods,64,Crosse standard EC
VS-98 5 round magazine,Weapon Mods,64,Chargeur VS-98 5 coups
EC standard handguard,Weapon Mods,64,Garde-main standard EC
suppressor 762x25,Weapon Mods,64,"Suppresseur 7,62x25mm"
EC series long barrel,Weapon Mods,64,Canon long série EC
Milosun red dot,Weapon Mods,64,Point rouge Milosun
PRK standard handguard,Weapon Mods,64,PRK garde-main standard
F90 attachment rail,Weapon Mods,64,Rail de fixation F90
NC 47 long barrel,Weapon Mods,64,Canon long NC 47
Grusa double rail,Weapon Mods,64,Rail double Grusa
G76 short barrel,Weapon Mods,64,Canon court G76
Fanaz standard pistol grip,Weapon Mods,64,Poignée pistolet standard Fanaz
Sha-12 long suppressor,Weapon Mods,64,Suppresseur long Sha-12
N4o1 standard stock,Weapon Mods,64,Crosse standard N4o1
TR-15 black handguard,Weapon Mods,64,Garde-main noir TR-15
ZZ VEL magazine,Weapon Mods,64,Chargeur ZZ VEL
EC wooden foregrip with rail,Weapon Mods,64,Poignée avant en bois EC avec rail
FRD wooden stock,Weapon Mods,64,Crosse en bois FRD
EC B mag magazine GEN T3 desert,Weapon Mods,64,Chargeur EC B mag GEN T3 désert
MKM handguard,Weapon Mods,64,Garde-main MKM
EC desert handguard,Weapon Mods,64,Garde-main EC désert
Spec scope,Weapon Mods,64,Lunette Spec
Skop standard handguard,Weapon Mods,64,Garde-main standard Skop
Boulder standard grip,Weapon Mods,64,Poignée standard Boulder
NB5 pistol grip,Weapon Mods,64,Poignée pistolet NB5
N1o standard stock,Weapon Mods,64,Crosse standard N1o
G76 standard stock,Weapon Mods,64,Crosse standard G76
Fanaz 60-round magazine,Weapon Mods,64,Chargeur Fanaz 60 coups
Muzzle brake 7.62x51 and 7.62x39 revenge,Weapon Mods,64,"Frein de bouche 7,62x51 et 7,62x39 revenge"
TR-15 tactical stock grey,Weapon Mods,64,Crosse tactique TR-15 grise
TR-15 standard magazine,Weapon Mods,64,Chargeur standard TR-15
TR-15 desert pistol grip,Weapon Mods,64,Poignée pistolet désert TR-15
STV-40 15 round magazine,Weapon Mods,64,Chargeur STV-40 15 coups
VS-98 10 round magazine,Weapon Mods,64,Chargeur VS-98 10 coups
suppressor 5.7x28,Weapon Mods,64,"Suppresseur 5,7x28mm"
EC series short barrel,Weapon Mods,64,Canon court série EC
Edatech dot,Weapon Mods,64,Edatech dot
PRK standard grip,Weapon Mods,64,Poignée standard PRK
NB5 stock,Weapon Mods,64,Crosse NB5
NC 47 short barrel,Weapon Mods,64,NC 47 courte Canon
Grusa single rail,Weapon Mods,64,Rail simple Grusa
EDL 10 round magazine,Weapon Mods,64,Chargeur EDL 10 coups
Sha-12 short suppressor,Weapon Mods,64,Suppresseur court Sha-12
Suppressor 5.56x45 CAK CBSS desert,Weapon Mods,64,"Suppresseur 5,56x45mm CAK CBSS désert"
TR-15 Handguard Lone Moon,Weapon Mods,64,Garde-main TR-15 Lone Moon
ZZ VEL handguard,Weapon Mods,64,Garde-main ZZ VEL
EC wooden foregrip,Weapon Mods,64,Poignée avant en bois EC
FRD 20 round magazine,Weapon Mods,64,Chargeur FRD 20 coups
EC standard magazine,Weapon Mods,64,Chargeur standard EC
suppressor 9x19,Weapon Mods,64,Suppresseur 9x19mm
EC handguard,Weapon Mods,64,Garde-main EC
CU scope,Weapon Mods,64,Lunette CU
Skop standard pistol grip,Weapon Mods,64,Poignée pistolet standard Skop
BBsH drum magazine,Weapon Mods,64,Chargeur tambour BBsH
NB153 stock,Weapon Mods,64,Crosse NB153
tactical green laser,Weapon Mods,64,Laser vert tactique
G76 long handguard (desert),Weapon Mods,64,Garde-main long G76 (désert)
Fanaz 30-round magazine,Weapon Mods,64,Chargeur Fanaz 30 coups
Muzzle brake 5.56x45 revenge,Weapon Mods,64,"Frein de bouche 5,56x45 revenge"
TR-15 tactical stock desert,Weapon Mods,64,Crosse tactique TR-15 désert
TR-15 iron sight,Weapon Mods,64,Viseur en fer TR-15
N4o1 standard pistol grip,Weapon Mods,64,Poignée pistolet standard N4o1
STV-40 10 round magazine,Weapon Mods,64,Chargeur STV-40 10 coups
EC stock,Weapon Mods,64,Crosse EC
Stas 12 standard stock,Weapon Mods,64,Crosse standard Stas 12
suppressor 5.45x39 TBS,Weapon Mods,64,"Suppresseur 5,45x39mm TBS"
EC-101 tactical magazine,Weapon Mods,64,Chargeur tactique EC-101
Alton scope,Weapon Mods,64,Lunette Alton
Renindon 700 extended magazine,Weapon Mods,64,Chargeur étendu Renindon 700
N1o/skop magazine 50 round,Weapon Mods,64,Chargeur N1o/skop 50
Grusa tactical suppressor,Weapon Mods,64,Suppresseur tactique Grusa
EDL 5 round magazine,Weapon Mods,64,Chargeur 5 coups EDL
Sha-12 standard brake,Weapon Mods,64,Frein standard Sha-12
Suppressor 5.56x45 CAK CBSS,Weapon Mods,64,"Suppresseur 5,56x45mm CAK CBSS"
TR-15 desert handguard,Weapon Mods,64,Garde-main désert TR-15
ZZ VEL pistol grip,Weapon Mods,64,Poignée pistolet ZZ VEL
EC-74u handguard,Weapon Mods,64,Garde-main EC-74u
FRD 10 round magazine,Weapon Mods,64,Chargeur 10 coups FRD
suppressor 9x18,Weapon Mods,64,Suppresseur 9x18mm
EC standard pistol grip,Weapon Mods,64,Poignée pistolet standard EC
TSU scope,Weapon Mods,64,Lunette TSU
Skop long barrel,Weapon Mods,64,Canon long Skop
BBsH standard magazine,Weapon Mods,64,Chargeur standard BBsH
tactical red laser,Weapon Mods,64,Laser rouge tactique
G76 long handguard,Weapon Mods,64,Garde-main long G76
Fanaz 20-round magazine,Weapon Mods,64,Chargeur 20 coups Fanaz
Muzzle brake 5.56x45 TVS CQB,Weapon Mods,64,"Frein de bouche 5,56x45 TVS CQB"
TR-15 stock KTR Green,Weapon Mods,64,Crosse TR-15 KTR Green
TR-15 Handguard TNR mt16,Weapon Mods,64,Garde-main TR-15 TNR mt16
Sector 50 rounds magazine,Weapon Mods,64,Chargeur 50 coups Sector
TR-15 muzzle brake,Weapon Mods,64,Frein de bouche TR-15
STV-40 handguard,Weapon Mods,64,Garde-main STV-40
Stas 12 attachment rail,Weapon Mods,64,Rail de fixation Stas 12
suppressor 5.45x39 Hexaboom,Weapon Mods,64,"Suppresseur 5,45x39mm Hexaboom"
EC-101 standard magazine,Weapon Mods,64,Chargeur standard EC-101
Break scope,Weapon Mods,64,Lunette Break
Renindon 700 clip magazine,Weapon Mods,64,Chargeur à clip Renindon 700
NB5 30 round magazine,Weapon Mods,64,NB5 30 coups Chargeur
N1o/skop magazine 30 round,Weapon Mods,64,N1o/skop chargeur 30 coups
Grusa tactical barrel,Weapon Mods,64,Canon tactique Grusa
EDL pistol grip,Weapon Mods,64,Poignée pistolet EDL
Sha-12 standard sight,Weapon Mods,64,Viseur standard Sha-12
TR-15 B mag magazine GEN T3 Green,Weapon Mods,64,Chargeur TR-15 B mag GEN T3 vert
TR-15 LYUA-C Handguard,Weapon Mods,64,Garde-main TR-15 LYUA-C
modern tactical torch,Weapon Mods,64,Lampe de poche tactique moderne
FRD advanced handguard,Weapon Mods,64,Garde-main avancé FRD
EC B mag magazine GEN T3,Weapon Mods,64,Chargeur EC B mag GEN T3
suppressor 762x54,Weapon Mods,64,"Suppresseur 7,62x54mm"
NTS red dot,Weapon Mods,64,Point rouge NTS
Skop short barrel,Weapon Mods,64,Canon court Skop
BB 91 30 round magazine,Weapon Mods,64,Chargeur BB 91 30 coups
NB153 handguard,Weapon Mods,64,Garde-main NB153
Grusa 50 round magazine,Weapon Mods,64,Chargeur Grusa 50 coups
G76 short handguard (desert),Weapon Mods,64,Garde-main court G76 (désert)
Fanaz advanced rail,Weapon Mods,64,Rail avancé Fanaz
Muzzle brake 5.45x39 ZPWW,Weapon Mods,64,"Frein de bouche 5,45x39 ZPWW"
TR-15 stock KTR black,Weapon Mods,64,Crosse TR-15 KTR noir
TR-15 Handguard KV-rail,Weapon Mods,64,Garde-main TR-15 Rail KV
Sector 21 rounds magazine,Weapon Mods,64,Chargeur Sector 21 coups
N4o1 long barrel,Weapon Mods,64,Canon long N4o1
FRD grip stock,Weapon Mods,64,Crosse poignée FRD
MKM 35 round magazine,Weapon Mods,64,Chargeur MKM 35 coups
EC handguard Pentagoon,Weapon Mods,64,Garde-main EC Pentagoon
suppressor 45,Weapon Mods,64,Suppresseur .45
Skop stock,Weapon Mods,64,Crosse Skop
Boulder 6 round magazine,Weapon Mods,64,Chargeur Boulder 6 coups
NB5 20 round magazine,Weapon Mods,64,NB5 20 coups chargeur
N1o/skop magazine 20 round,Weapon Mods,64,N1o/skop chargeur 20 coups
Grusa short barrel,Weapon Mods,64,Canon court Grusa
"Muzzle brake annikilator for 5.56x45, 7.62x51, 9x19",Weapon Mods,64,"Annihilateur de frein de bouche pour 5,56x45, 7,62x51, 9x19"
Sha-12 20 round magazine,Weapon Mods,64,Chargeur Sha-12 20 coups
TR-15 B mag magazine GEN T3,Weapon Mods,64,Chargeur TR-15 B mag GEN T3
N4o1 standard handguard,Weapon Mods,64,Garde-main standard N4o1
standard tactical torch,Weapon Mods,64,Lampe de poche tactique standard
EC Stock YUAS,Weapon Mods,64,Crosse EC YUAS
FRD polymer handguard,Weapon Mods,64,Garde-main polymère FRD
EC 60 round magazine,Weapon Mods,64,Chargeur EC 60 coups
suppressor 7.62x51 PTS/UDK,Weapon Mods,64,"Suppresseur 7,62x51mm PTS/UDK"
EC Tacto SAVV Pistol grip desert,Weapon Mods,64,EC Tacto SAVV Poignée pistolet désert
Lion scope,Weapon Mods,64,Lunette Lion
PRK Standard stock,Weapon Mods,64,Crosse PRK Standard
BB 91 20 round magazine,Weapon Mods,64,Chargeur BB 91 20 coups
Nozin modern stock,Weapon Mods,64,Crosse moderne Nozin
Grusa 30 round magazine,Weapon Mods,64,Chargeur Grusa 30 coups
G76 short handguard,Weapon Mods,64,Garde-main court G76
Fanaz attachment rail,Weapon Mods,64,Rail de fixation Fanaz
Muzzle brake 5.45x39 PPD-3C,Weapon Mods,64,"Frein de bouche 5,45x39 PPD-3C"
TR-15 stock KTR desert,Weapon Mods,64,Crosse TR-15 KTR désert
TR-15 Handguard CAK XRU,Weapon Mods,64,Garde-main TR-15 CAK XRU
N4o1 short barrel,Weapon Mods,64,Canon court N4o1
FRD modern stock,Weapon Mods,64,Crosse moderne FRD
EC74 iron sight,Weapon Mods,64,Viseur en fer EC74
MKM 20 round magazine,Weapon Mods,64,Chargeur MKM 20 coups
EC handguard Aggrexxor,Weapon Mods,64,Garde-main EC Aggrexxor
suppressor 12x70,Weapon Mods,64,Suppresseur 12x70mm
Skop standard stock,Weapon Mods,64,Crosse standard Skop
Boulder 12 round magazine,Weapon Mods,64,Chargeur Boulder 12 coups
NB5 handguard,Weapon Mods,64,Garde-main NB5
N1o modern stock,Weapon Mods,64,Crosse moderne N1o
G76 advanced stock,Weapon Mods,64,Crosse avancée G76
"Muzzle brake TVS CQB for 9x18, 9x19",Weapon Mods,64,"Frein de bouche TVS CQB pour 9x18, 9x19"
Sha-12 10 round magazine,Weapon Mods,64,Chargeur Sha-12 10 coups
TR-15 extended magazine,Weapon Mods,64,TR-15 étendu Chargeur
TR-15 green pistol grip,Weapon Mods,64,Poignée pistolet verte TR-15
FRD wooden handguard,Weapon Mods,64,Garde-main en bois FRD
EC handguard Thukov Desert,Weapon Mods,64,Garde-main EC Thukov Desert
suppressor 762x39,Weapon Mods,64,"Suppresseur 7,62x39mm"
EC Tacto SAVV Pistol grip,Weapon Mods,64,Poignée pistolet EC Tacto SAVV
Snake sight,Weapon Mods,64,Viseur Snake
PRK Drum magazine,Weapon Mods,64,Chargeur tambour PRK
BB 91 handguard,Weapon Mods,64,Garde-main BB 91
Nozin wooden stock,Weapon Mods,64,Crosse en bois Nozin
Grusa 20 round magazine,Weapon Mods,64,Chargeur Grusa 20 coups
G76 long barrel,Weapon Mods,64,Canon long G76
Muzzle brake 5.45x39 TVS CQB,Weapon Mods,64,"Frein de bouche 5,45x39 TVS CQB"
TR-15 stock,Weapon Mods,64,Crosse TR-15
TR-15 green handguard,Weapon Mods,64,Garde-main verte TR-15
ZZ VEL 30 round magazine,Weapon Mods,64,Chargeur ZZ VEL 30 coups
ETS stock,Weapon Mods,64,Crosse ETS
FRD polymer stock,Weapon Mods,64,Crosse polymére FRD
MKM 10 round magazine,Weapon Mods,64,Chargeur MKM 10 coups
EC handguard Thukov,Weapon Mods,64,Garde-main EC Thukov
Vadoo scope,Weapon Mods,64,Lunette Vadoo
